as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2021-12-31,Artisan Focus Fund Advisor,04314H519,APDTX,11/22/2021,11/23/2021,11/23/2021,,3.273,0.1672
2021-12-31,Artisan Focus Fund Institutional,04314H493,APHTX,11/22/2021,11/23/2021,11/23/2021,,3.273,0.1672
2021-12-31,Artisan Focus Fund Investor,04314H543,ARTTX,11/22/2021,11/23/2021,11/23/2021,,3.273,0.1672
2021-12-31,Artisan Sustainable Emerging Markets Fund Institutional,04314H865,APHEX,11/22/2021,11/23/2021,11/23/2021,0.171700,,
2021-12-31,Artisan Sustainable Emerging Markets Fund Investor,04314H832,ARTZX,11/22/2021,11/23/2021,11/23/2021,0.200000,,
2022-12-31,Artisan Focus Fund Advisor,04314H519,APDTX,11/21/2022,11/22/2022,11/22/2022,0.075787,,
2022-12-31,Artisan Focus Fund Institutional,04314H493,APHTX,11/21/2022,11/22/2022,11/22/2022,0.095999,,
2022-12-31,Artisan Focus Fund Investor,04314H543,ARTTX,11/21/2022,11/22/2022,11/22/2022,0.050483,,
2022-12-31,Artisan Global Discovery Fund Institutional,04314H527,APHDX,11/21/2022,11/22/2022,11/22/2022,0.018261,,
2022-12-31,Artisan Global Equity Fund Advisor,04314H428,APDHX,11/21/2022,11/22/2022,11/22/2022,0.148694,,
2022-12-31,Artisan Global Equity Fund Institutional,04314H584,APHHX,11/21/2022,11/22/2022,11/22/2022,0.190903,,
2022-12-31,Artisan Global Equity Fund Investor,04314H816,ARTHX,11/21/2022,11/22/2022,11/22/2022,0.143480,,
2022-12-31,Artisan International Explorer Fund Advisor,04314H253,ARDBX,11/14/2022,11/15/2022,11/15/2022,0.010805,,
2022-12-31,Artisan International Explorer Fund Institutional,04314H246,ARHBX,11/14/2022,11/15/2022,11/15/2022,0.015817,,
2022-12-31,Artisan International Small Mid Fund Advisor,04314H485,APDJX,11/21/2022,11/22/2022,11/22/2022,0.003870,,
2022-12-31,Artisan International Small Mid Fund Institutional,04314H576,APHJX,11/21/2022,11/22/2022,11/22/2022,0.018138,,
2022-12-31,Artisan Mid Cap Fund Advisor,04314H659,APDMX,11/21/2022,11/22/2022,11/22/2022,0.130174,,
2022-12-31,Artisan Mid Cap Fund Institutional,04314H600,APHMX,11/21/2022,11/22/2022,11/22/2022,0.161337,,
2022-12-31,Artisan Mid Cap Fund Investor,04314H303,ARTMX,11/21/2022,11/22/2022,11/22/2022,0.080896,,
2022-12-31,Artisan Small Cap Fund Advisor,04314H550,APDSX,11/21/2022,11/22/2022,11/22/2022,0.104185,,
2022-12-31,Artisan Small Cap Fund Institutional,04314H758,APHSX,11/21/2022,11/22/2022,11/22/2022,0.148671,,
2022-12-31,Artisan Small Cap Fund Investor,04314H105,ARTSX,11/21/2022,11/22/2022,11/22/2022,0.078090,,
2022-12-31,Artisan Sustainable Emerging Markets Fund Advisor,04314H279,APDEX,11/21/2022,11/22/2022,11/22/2022,0.135554,,
2022-12-31,Artisan Sustainable Emerging Markets Fund Institutional,04314H865,APHEX,11/21/2022,11/22/2022,11/22/2022,0.145580,,
2022-12-31,Artisan Sustainable Emerging Markets Fund Investor,04314H832,ARTZX,11/21/2022,11/22/2022,11/22/2022,0.114735,,
2023-12-31,Artisan International Small Mid Fund Advisor,04314H485,APDJX,12/27/2023,12/28/2023,12/28/2023,0.000458,,
2023-12-31,Artisan International Small Mid Fund Institutional,04314H576,APHJX,12/27/2023,12/28/2023,12/28/2023,0.012726,,
2024-12-31,Artisan Global Discovery Fund Advisor,04314H444,APDDX,12/09/2024,12/10/2024,12/10/2024,,,0.181878
2024-12-31,Artisan Global Discovery Fund Institutional,04314H527,APHDX,12/09/2024,12/10/2024,12/10/2024,,,0.181878
2024-12-31,Artisan Global Discovery Fund Investor,04314H535,APFDX,12/09/2024,12/10/2024,12/10/2024,,,0.181878
2024-12-31,Artisan Mid Cap Fund Advisor,04314H659,APDMX,12/09/2024,12/10/2024,12/10/2024,,,5.232036
2024-12-31,Artisan Mid Cap Fund Institutional,04314H600,APHMX,12/09/2024,12/10/2024,12/10/2024,,,5.232036
2024-12-31,Artisan Small Cap Fund Advisor,04314H550,APDSX,12/09/2024,12/10/2024,12/10/2024,,,1.832070
2024-12-31,Artisan Small Cap Fund Institutional,04314H758,APHSX,12/09/2024,12/10/2024,12/10/2024,,,1.832070
2025-12-31,Artisan International Fund Advisor,04314H675,APDIX,12/09/2025,12/10/2025,12/10/2025,0.643107,1.111827,5.017255
2025-12-31,Artisan International Fund Institutional,04314H402,APHIX,12/09/2025,12/10/2025,12/10/2025,0.673190,1.111827,5.017255
