as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2021-12-31,Artisan Global Discovery Fund Advisor,04314H444,APDDX,11/22/2021,11/23/2021,11/23/2021,,0.4818,1.2521
2021-12-31,Artisan Global Value Fund Advisor,04314H683,APDGX,11/22/2021,11/23/2021,11/23/2021,0.2194,0.0155,1.7103
2021-12-31,Artisan Global Equity Fund Advisor,04314H428,APDHX,11/22/2021,11/23/2021,11/23/2021,,1.5045,2.2312
2021-12-31,Artisan International Fund Advisor,04314H675,APDIX,11/22/2021,11/23/2021,11/23/2021,0.2984,1.3765,5.498
2021-12-31,Artisan International Small Mid Fund Advisor,04314H485,APDJX,11/22/2021,11/23/2021,11/23/2021,,0.1515,0.4331
2021-12-31,Artisan International Small Mid Fund Advisor,04314H485,APDJX,12/29/2021,12/30/2021,12/31/2021,,0.0003,
2021-12-31,Artisan International Value Fund Advisor,04314H667,APDKX,11/15/2021,11/16/2021,11/16/2021,1.1501,1.0642,1.9715
2021-12-31,Artisan Value Fund Advisor,04314H634,APDLX,11/22/2021,11/23/2021,11/23/2021,0.1754,0.1101,1.6816
2021-12-31,Artisan Mid Cap Fund Advisor,04314H659,APDMX,11/22/2021,11/23/2021,11/23/2021,,0.7206,7.8685
2021-12-31,Artisan Select Equity Fund Advisor,04314H469,APDNX,11/22/2021,11/23/2021,11/23/2021,,0.284,0.3654
2021-12-31,Artisan Mid Cap Value Fund Advisor,04314H642,APDQX,11/22/2021,11/23/2021,11/23/2021,0.0746,0.3368,2.6813
2021-12-31,Artisan Global Opportunities Fund Advisor,04314H691,APDRX,11/22/2021,11/23/2021,11/23/2021,,0.1899,3.795
2021-12-31,Artisan Small Cap Fund Advisor,04314H550,APDSX,11/22/2021,11/23/2021,11/23/2021,,0.3751,4.697
2021-12-31,Artisan Global Discovery Fund Investor,04314H535,APFDX,11/22/2021,11/23/2021,11/23/2021,,0.4818,1.2521
2021-12-31,Artisan Global Discovery Fund Institutional,04314H527,APHDX,11/22/2021,11/23/2021,11/23/2021,,0.4818,1.2521
2021-12-31,Artisan Global Value Fund Institutional,04314H741,APHGX,11/22/2021,11/23/2021,11/23/2021,0.2381,0.0155,1.7103
2021-12-31,Artisan Global Equity Fund Institutional,04314H584,APHHX,11/22/2021,11/23/2021,11/23/2021,,1.5045,2.2312
2021-12-31,Artisan International Fund Institutional,04314H402,APHIX,11/22/2021,11/23/2021,11/23/2021,0.3344,1.3765,5.498
2021-12-31,Artisan International Small Mid Fund Institutional,04314H576,APHJX,11/22/2021,11/23/2021,11/23/2021,,0.1515,0.4331
2021-12-31,Artisan International Small Mid Fund Institutional,04314H576,APHJX,12/29/2021,12/30/2021,12/31/2021,,0.0003,
2021-12-31,Artisan International Value Fund Institutional,04314H857,APHKX,11/15/2021,11/16/2021,11/16/2021,1.2013,1.0642,1.9715
2021-12-31,Artisan Value Fund Institutional,04314H790,APHLX,11/22/2021,11/23/2021,11/23/2021,0.1949,0.1101,1.6816
2021-12-31,Artisan Mid Cap Fund Institutional,04314H600,APHMX,11/22/2021,11/23/2021,11/23/2021,,0.7206,7.8685
2021-12-31,Artisan Select Equity Fund Institutional,04314H451,APHNX,11/22/2021,11/23/2021,11/23/2021,0.0168,0.284,0.3654
2021-12-31,Artisan Mid Cap Value Fund Institutional,04314H774,APHQX,11/22/2021,11/23/2021,11/23/2021,0.092,0.3368,2.6813
2021-12-31,Artisan Global Opportunities Fund Institutional,04314H782,APHRX,11/22/2021,11/23/2021,11/23/2021,,0.1899,3.795
2021-12-31,Artisan Small Cap Fund Institutional,04314H758,APHSX,11/22/2021,11/23/2021,11/23/2021,,0.3751,4.697
2021-12-31,Artisan Global Value Fund Investor,04314H840,ARTGX,11/22/2021,11/23/2021,11/23/2021,0.1933,0.0155,1.7103
2021-12-31,Artisan Global Equity Fund Investor,04314H816,ARTHX,11/22/2021,11/23/2021,11/23/2021,,1.5045,2.2312
2021-12-31,Artisan International Fund Investor,04314H204,ARTIX,11/22/2021,11/23/2021,11/23/2021,0.2419,1.3765,5.498
2021-12-31,Artisan International Small Mid Fund Investor,04314H808,ARTJX,11/22/2021,11/23/2021,11/23/2021,,0.1515,0.4331
2021-12-31,Artisan International Small Mid Fund Investor,04314H808,ARTJX,12/29/2021,12/30/2021,12/31/2021,,0.0003,
2021-12-31,Artisan International Value Fund Investor,04314H881,ARTKX,11/15/2021,11/16/2021,11/16/2021,1.0743,1.0642,1.9715
2021-12-31,Artisan Value Fund Investor,04314H873,ARTLX,11/22/2021,11/23/2021,11/23/2021,0.1592,0.1101,1.6816
2021-12-31,Artisan Mid Cap Fund Investor,04314H303,ARTMX,11/22/2021,11/23/2021,11/23/2021,,0.7206,7.8685
2021-12-31,Artisan Select Equity Fund Investor,04314H477,ARTNX,11/22/2021,11/23/2021,11/23/2021,,0.284,0.3654
2021-12-31,Artisan Mid Cap Value Fund Investor,04314H709,ARTQX,11/22/2021,11/23/2021,11/23/2021,0.0395,0.3368,2.6813
2021-12-31,Artisan Global Opportunities Fund Investor,04314H824,ARTRX,11/22/2021,11/23/2021,11/23/2021,,0.1899,3.795
2021-12-31,Artisan Small Cap Fund Investor,04314H105,ARTSX,11/22/2021,11/23/2021,11/23/2021,,0.3751,4.697
