as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2024-12-31,Xtrackers Harvest CSI 300 China A-Shares ETF,233051879,ASHR,12/20/2024,12/20/2024,12/30/2024,0.299450000,,
2024-12-31,Xtrackers USD High Yield BB-B ex Financials ETF,23306X878,BHYB,12/23/2024,12/23/2024,12/31/2024,0.395210000,,
2024-12-31,Xtrackers MSCI All World ex US Hedged Equity ETF,233051820,DBAW,12/20/2024,12/20/2024,12/30/2024,0.335040000,,
2024-12-31,Xtrackers MSCI EAFE Hedged Equity ETF,233051200,DBEF,12/20/2024,12/20/2024,12/30/2024,0.297060000,,
2024-12-31,Xtrackers MSCI Emerging Markets Hedged Equity ETF,233051101,DBEM,12/20/2024,12/20/2024,12/30/2024,0.433540000,,
2024-12-31,Xtrackers MSCI Europe Hedged Equity ETF,233051853,DBEU,6/21/2024,6/21/2024,06/28/2024,0.029150000,,
2024-12-31,Xtrackers MSCI Eurozone Hedged Equity ETF,233051697,DBEZ,12/20/2024,12/20/2024,12/30/2024,0.252530000,,
2024-12-31,Xtrackers MSCI Japan Hedged Equity ETF,233051507,DBJP,6/21/2024,6/21/2024,06/28/2024,2.115680000,,
2024-12-31,Xtrackers FTSE Developed ex US Multifactor ETF,233051515,DEEF,9/20/2024,9/20/2024,09/27/2024,0.503890000,,
2024-12-31,Xtrackers Russell US Multifactor ETF,233051481,DEUS,9/20/2024,9/20/2024,09/27/2024,0.182450000,,
2024-12-31,Xtrackers MSCI EAFE Selection Equity ETF,233051218,EASG,12/20/2024,12/20/2024,12/30/2024,0.340480000,,
2024-12-31,Xtrackers Emerging Markets Carbon Reduction and Climate Improvers ETF,233051192,EMCR,12/20/2024,12/20/2024,12/30/2024,1.886840000,,
2024-12-31,Xtrackers MSCI Emerging Markets Climate Selection ETF,233051226,EMCS,12/20/2024,12/20/2024,12/30/2024,0.088170000,,
2024-12-31,Xtrackers International Real Estate ETF,233051846,HAUZ,12/20/2024,12/20/2024,12/30/2024,0.461980000,,
2024-12-31,Xtrackers MSCI EAFE High Dividend Yield Equity ETF,233051630,HDEF,9/20/2024,9/20/2024,09/27/2024,0.208010000,,
2024-12-31,Xtrackers Low Beta High Yield Bond ETF,233051267,HYDW,12/23/2024,12/23/2024,12/31/2024,0.279380000,,
2024-12-31,Xtrackers USD High Yield Corporate Bond ETF,233051432,HYLB,12/23/2024,12/23/2024,12/31/2024,0.219070000,,
2024-12-31,Xtrackers Risk Managed USD High Yield Strategy ETF,23306X100,HYRM,12/23/2024,12/23/2024,12/31/2024,0.162260000,,
2024-12-31,Xtrackers High Beta High Yield Bond ETF,233051259,HYUP,12/23/2024,12/23/2024,12/31/2024,0.279380000,,
2024-12-31,Xtrackers MSCI Kokusai Equity ETF,233051135,KOKU,9/20/2024,9/20/2024,09/27/2024,0.422040000,,
2024-12-31,Xtrackers S&P MidCap 400 Scored & Screened ETF,233051127,MIDE,12/20/2024,12/20/2024,12/30/2024,0.150910000,,
2024-12-31,Xtrackers RREEF Global Natural Resources ETF,23306X837,NRES,9/20/2024,9/20/2024,09/27/2024,0.101810000,,
2024-12-31,Xtrackers Cybersecurity Select Equity ETF,23306X803,PSWD,9/20/2024,9/20/2024,09/27/2024,0.008690000,,
2024-12-31,Xtrackers Russell 1000 US QARP ETF,233051242,QARP,9/20/2024,9/20/2024,09/27/2024,0.172660000,,
2024-12-31,Xtrackers Municipal Infrastructure Revenue Bond ETF,233051705,RVNU,12/23/2024,12/23/2024,12/31/2024,0.071650000,,
2024-12-31,Xtrackers Short Duration High Yield Bond ETF,233051283,SHYL,12/23/2024,12/23/2024,12/31/2024,0.290540000,,
2024-12-31,Xtrackers S&P Dividend Aristocrats Screened ETF,23306X506,SNPD,9/20/2024,9/20/2024,09/27/2024,0.173570000,,
2024-12-31,Xtrackers S&P 500 Scored & Screened ETF,233051143,SNPE,9/20/2024,9/20/2024,09/27/2024,0.149220000,,
2024-12-31,Xtrackers S&P 500 Growth Scored & Screened ETF,23306X308,SNPG,9/20/2024,9/20/2024,09/27/2024,0.051200000,,
2024-12-31,Xtrackers US 0-1 Year Treasury ETF,23306X811,TRSY,12/2/2024,12/2/2024,12/09/2024,0.110000000,,
2024-12-31,Xtrackers US Green Infrastructure Select Equity ETF,23306X704,UPGR,9/20/2024,9/20/2024,09/27/2024,0.057520000,,
2024-12-31,Xtrackers MSCI USA Climate Action Equity ETF,23306X605,USCA,9/20/2024,9/20/2024,09/27/2024,0.111440000,,
2024-12-31,Xtrackers Net Zero Pathway Paris Aligned US Equity ETF,23306X209,USNZ,9/20/2024,9/20/2024,09/27/2024,0.106430000,,
2024-12-31,Xtrackers MSCI USA Selection Equity ETF,233051150,USSG,9/20/2024,9/20/2024,09/27/2024,0.156360000,,
2024-12-31,Xtrackers Artificial Intelligence and Big Data ETF,23306X829,XAIX,12/20/2024,12/20/2024,12/30/2024,0.028020000,,
