as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2024-12-31,Invesco Greater China Fund,00141T155,AACFX,12/13/2024,12/16/2024,12/16/2024,0.1862,,
2024-12-31,Invesco Select Risk: Growth Investor Fund,00141M549,AADAX,12/18/2024,12/19/2024,12/19/2024,0.3822,0.0888,0.23
2024-12-31,Invesco Select Risk: Growth Investor Fund Class C,00141M523,AADCX,12/18/2024,12/19/2024,12/19/2024,0.1554,0.0888,0.23
2024-12-31,Invesco Select Risk: Growth Investor Fund Class R5,00141M499,AADIX,12/18/2024,12/19/2024,12/19/2024,0.4689,0.0888,0.23
2024-12-31,Invesco Select Risk: Growth Investor Fund Class R,00141M515,AADRX,12/18/2024,12/19/2024,12/19/2024,0.3114,0.0888,0.23
2024-12-31,Invesco Select Risk: Growth Investor Fund Class S,00888W205,AADSX,12/18/2024,12/19/2024,12/19/2024,0.4126,0.0888,0.23
2024-12-31,Invesco Select Risk: Growth Investor Fund Class Y,00888U613,AADYX,12/18/2024,12/19/2024,12/19/2024,0.4583,0.0888,0.23
2024-12-31,Invesco Select Risk: Growth Investor Fund Class R6,00888W213,AAESX,12/18/2024,12/19/2024,12/19/2024,0.4918,0.0888,0.23
2024-12-31,Invesco Balanced-Risk Allocation Fund Class C,00141V721,ABRCX,12/13/2024,12/16/2024,12/16/2024,0.9595,,
2024-12-31,Invesco Balanced-Risk Allocation Fund Class R5,00141V689,ABRIX,12/13/2024,12/16/2024,12/16/2024,1.0662,,
2024-12-31,Invesco Balanced-Risk Allocation Fund Class R,00141V713,ABRRX,12/13/2024,12/16/2024,12/16/2024,1.0111,,
2024-12-31,Invesco Balanced-Risk Allocation Fund Class Y,00141V697,ABRYX,12/13/2024,12/16/2024,12/16/2024,1.061,,
2024-12-31,Invesco Balanced-Risk Allocation Fund,00141V747,ABRZX,12/13/2024,12/16/2024,12/16/2024,1.0362,,
2024-12-31,Invesco Corporate Bond Fund,001421858,ACCBX,,12/31/2024,12/31/2024,0.0262,,
2024-12-31,Invesco Corporate Bond Fund Class C,001421833,ACCEX,,12/31/2024,12/31/2024,0.0224,,
2024-12-31,Invesco Corporate Bond Fund Class Y,001421825,ACCHX,,12/31/2024,12/31/2024,0.0275,,
2024-12-31,Invesco Corporate Bond Fund Class R5,001421817,ACCWX,,12/31/2024,12/31/2024,0.0277,,
2024-12-31,Invesco Corporate Bond Fund Class R,001421635,ACCZX,,12/31/2024,12/31/2024,0.0249,,
2024-12-31,Invesco Equity and Income Fund,00142J479,ACEIX,12/11/2024,12/12/2024,12/12/2024,0.0691,0.0529,0.5961
2024-12-31,Invesco Equity and Income Fund Class R5,00142J438,ACEKX,12/11/2024,12/12/2024,12/12/2024,0.0773,0.0529,0.5961
2024-12-31,Invesco Equity and Income Fund Class C,00142J453,ACERX,12/11/2024,12/12/2024,12/12/2024,0.0461,0.0529,0.5961
2024-12-31,Invesco Equity and Income Fund Class R,00142J420,ACESX,12/11/2024,12/12/2024,12/12/2024,0.0623,0.0529,0.5961
2024-12-31,Invesco Equity and Income Fund Class Y,00142J446,ACETX,12/11/2024,12/12/2024,12/12/2024,0.0764,0.0529,0.5961
2024-12-31,Invesco Growth and Income Fund,00142J362,ACGIX,12/11/2024,12/12/2024,12/12/2024,0.0674,0.0644,1.9408
2024-12-31,Invesco Growth and Income Fund Class C,00142J347,ACGKX,12/11/2024,12/12/2024,12/12/2024,0.0202,0.0644,1.9408
2024-12-31,Invesco Growth and Income Fund Class R,00142J313,ACGLX,12/11/2024,12/12/2024,12/12/2024,0.0519,0.0644,1.9408
2024-12-31,Invesco Growth and Income Fund Class Y,00142J339,ACGMX,12/11/2024,12/12/2024,12/12/2024,0.083,0.0644,1.9408
2024-12-31,Invesco Growth and Income Fund Class R5,00142J321,ACGQX,12/11/2024,12/12/2024,12/12/2024,0.0844,0.0644,1.9408
2024-12-31,Invesco Government Money Market Fund Class C,00142C789,ACNXX,,12/31/2024,12/31/2024,0.00306707,,
2024-12-31,Invesco Core Plus Bond Fund,00141A529,ACPSX,,12/31/2024,12/31/2024,0.0353,,
2024-12-31,Invesco Comstock Fund Class Y,00143M661,ACSDX,12/11/2024,12/12/2024,12/12/2024,0.1813,0.1921,2.2071
2024-12-31,Invesco Comstock Fund Class R5,00143M653,ACSHX,12/11/2024,12/12/2024,12/12/2024,0.1843,0.1921,2.2071
2024-12-31,Invesco Comstock Fund Class R,00143M679,ACSRX,12/11/2024,12/12/2024,12/12/2024,0.14,0.1921,2.2071
2024-12-31,Invesco Comstock Fund,00143M711,ACSTX,12/11/2024,12/12/2024,12/12/2024,0.1606,0.1921,2.2071
