as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2025-12-31,Invesco BulletShares 2032 High Yield Corporate Bond ETF,46139W775,BSJW,12/22/2025,12/22/2025,12/26/2025,0.14134,0.02182,0.00364
2025-12-31,Invesco BulletShares 2033 High Yield Corporate Bond ETF,46139W742,BSJX,12/22/2025,12/22/2025,12/26/2025,0.18834,0.08,
2025-12-31,Invesco Core Fixed Income ETF,46127B601,GTOC,12/22/2025,12/22/2025,12/26/2025,0.10497,0.03125,
2025-12-31,Invesco High Yield Select ETF,46090A754,HIYS,12/22/2025,12/22/2025,12/26/2025,0.14813,,0.06871
2025-12-31,Invesco S&P International Developed Momentum ETF,46138E222,IDMO,12/22/2025,12/22/2025,12/26/2025,0.2757,0.68417,0.27579
2025-12-31,Invesco Global Equity Net Zero ETF,46127B700,IQSZ,12/22/2025,12/22/2025,12/26/2025,0.10954,0.0957,
2025-12-31,Invesco Real Assets ESG ETF,46090A788,IVRA,12/22/2025,12/22/2025,12/26/2025,0.06438,0.46309,
2025-12-31,Invesco International Growth Focus ETF,46127B304,MTRA,12/22/2025,12/22/2025,12/26/2025,0.02313,0.15724,
2025-12-31,Invesco S&P 500 BuyWrite ETF,46137V399,PBP,12/22/2025,12/22/2025,12/26/2025,0.11474,0.11628,0.16303
2025-12-31,Invesco India ETF,46137R109,PIN,12/22/2025,12/22/2025,12/26/2025,,,1.79635
2025-12-31,Invesco S&P SmallCap Industrials ETF,46138E123,PSCI,12/22/2025,12/22/2025,12/26/2025,0.22935,0.1617,1.37447
