as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2024-09-30,Janus Henderson Government Money Market Fund,47103E858,ACDXX,9/30/2024,9/30/2024,9/30/2024,0.00355437,,
2024-10-31,Janus Henderson Government Money Market Fund,47103E858,ACDXX,10/31/2024,10/31/2024,10/31/2024,0.00372959,,
2024-11-29,Janus Henderson Government Money Market Fund,47103E858,ACDXX,11/29/2024,11/29/2024,11/29/2024,0.00366214,,
2024-12-31,Janus Henderson Government Money Market Fund,47103E858,ACDXX,12/31/2024,12/31/2024,12/31/2024,0.00357433,,
2025-01-31,Janus Henderson Government Money Market Fund,47103E858,ACDXX,1/31/2025,1/31/2025,1/31/2025,0.00358844,,
2025-02-28,Janus Henderson Government Money Market Fund,47103E858,ACDXX,2/28/2025,2/28/2025,2/28/2025,0.00310409,,
2025-03-31,Janus Henderson Government Money Market Fund,47103E858,ACDXX,3/31/2025,3/31/2025,3/31/2025,0.00317850,,
2025-04-30,Janus Henderson Government Money Market Fund,47103E858,ACDXX,4/30/2025,4/30/2025,4/30/2025,0.00328888,,
2025-05-30,Janus Henderson Government Money Market Fund,47103E858,ACDXX,5/30/2025,5/30/2025,5/30/2025,0.00349690,,
2025-06-30,Janus Henderson Government Money Market Fund,47103E858,ACDXX,6/30/2025,6/30/2025,6/30/2025,0.00317566,,
2025-07-31,Janus Henderson Government Money Market Fund,47103E858,ACDXX,7/31/2025,7/31/2025,7/31/2025,0.00340809,,
2025-08-29,Janus Henderson Government Money Market Fund,47103E858,ACDXX,8/29/2025,8/29/2025,8/29/2025,0.00352127,,
2025-09-30,Janus Henderson Government Money Market Fund,47103E858,ACDXX,9/30/2025,9/30/2025,9/30/2025,0.00314174,,
2025-10-31,Janus Henderson Government Money Market Fund,47103E858,ACDXX,10/31/2025,10/31/2025,10/31/2025,0.00344306,,
2025-11-28,Janus Henderson Government Money Market Fund,47103E858,ACDXX,11/28/2025,11/28/2025,11/28/2025,0.00281724,,
2025-12-31,Janus Henderson Government Money Market Fund,47103E858,ACDXX,12/31/2025,12/31/2025,12/31/2025,0.00306343,,
2024-12-31,Janus Henderson Government Money Market Fund,47103Y466,ACJXX,12/31/2024,12/31/2024,12/31/2024,0.00283638,,
2025-01-31,Janus Henderson Government Money Market Fund,47103Y466,ACJXX,1/31/2025,1/31/2025,1/31/2025,0.00368358,,
2025-02-28,Janus Henderson Government Money Market Fund,47103Y466,ACJXX,2/28/2025,2/28/2025,2/28/2025,0.00320411,,
2025-03-31,Janus Henderson Government Money Market Fund,47103Y466,ACJXX,3/31/2025,3/31/2025,3/31/2025,0.00328382,,
2025-04-30,Janus Henderson Government Money Market Fund,47103Y466,ACJXX,4/30/2025,4/30/2025,4/30/2025,0.00339619,,
2025-05-30,Janus Henderson Government Money Market Fund,47103Y466,ACJXX,5/30/2025,5/30/2025,5/30/2025,0.00361180,,
2025-06-30,Janus Henderson Government Money Market Fund,47103Y466,ACJXX,6/30/2025,6/30/2025,6/30/2025,0.00327729,,
2025-07-31,Janus Henderson Government Money Market Fund,47103Y466,ACJXX,7/31/2025,7/31/2025,7/31/2025,0.00352055,,
2025-08-29,Janus Henderson Government Money Market Fund,47103Y466,ACJXX,8/29/2025,8/29/2025,8/29/2025,0.00363734,,
2025-09-30,Janus Henderson Government Money Market Fund,47103Y466,ACJXX,9/30/2025,9/30/2025,9/30/2025,0.00324502,,
2025-10-31,Janus Henderson Government Money Market Fund,47103Y466,ACJXX,10/31/2025,10/31/2025,10/31/2025,0.00356030,,
2025-11-28,Janus Henderson Government Money Market Fund,47103Y466,ACJXX,11/28/2025,11/28/2025,11/28/2025,0.00291699,,
