as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2022-03-31,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,3/30/2022,3/31/2022,3/31/2022,0.06080000,,
2022-06-30,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,6/29/2022,6/30/2022,6/30/2022,0.13220000,,
2022-09-30,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,9/29/2022,9/30/2022,9/30/2022,0.20340000,,
2022-12-22,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,12/21/2022,12/22/2022,12/22/2022,0.12373090,,
2023-03-31,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,3/30/2023,3/31/2023,3/31/2023,0.06080000,,
2023-06-30,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,6/29/2023,6/30/2023,6/30/2023,0.13220000,,
2023-09-29,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,9/28/2023,9/29/2023,9/29/2023,0.20340000,,
2023-12-11,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,12/8/2023,12/11/2023,12/11/2023,0.04200000,,
2024-03-28,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,3/27/2024,3/28/2024,3/28/2024,0.06080000,,
2024-06-28,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,6/27/2024,6/28/2024,6/28/2024,0.13220000,,
2024-09-30,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,9/27/2024,9/30/2024,9/30/2024,0.09460000,,
2024-12-10,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,12/9/2024,12/10/2024,12/10/2024,0.03900000,,0.63119
2025-03-31,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,3/28/2025,3/31/2025,3/31/2025,0.06080000,,
2025-06-30,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,6/27/2025,6/30/2025,6/30/2025,0.13880000,,
2025-09-30,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,9/29/2025,9/30/2025,9/30/2025,0.09460000,,
2025-12-09,Janus Henderson Dividend & Income Builder Fund,47103X864,HDAVX,12/8/2025,12/9/2025,12/9/2025,0.05070000,,1.01209
2022-03-31,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,3/30/2022,3/31/2022,3/31/2022,0.05050000,,
2022-06-30,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,6/29/2022,6/30/2022,6/30/2022,0.12060000,,
2022-09-30,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,9/29/2022,9/30/2022,9/30/2022,0.18490000,,
2022-12-22,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,12/21/2022,12/22/2022,12/22/2022,0.09614435,,
2023-03-31,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,3/30/2023,3/31/2023,3/31/2023,0.04580000,,
2023-06-30,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,6/29/2023,6/30/2023,6/30/2023,0.12120000,,
2023-09-29,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,9/28/2023,9/29/2023,9/29/2023,0.17990000,,
2023-12-11,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,12/8/2023,12/11/2023,12/11/2023,0.01795204,,
2024-03-28,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,3/27/2024,3/28/2024,3/28/2024,0.01830000,,
2024-06-28,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,6/27/2024,6/28/2024,6/28/2024,0.11030000,,
2024-09-30,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,9/27/2024,9/30/2024,9/30/2024,0.06020000,,
2024-12-10,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,12/9/2024,12/10/2024,12/10/2024,0.00707040,,0.63119
2025-03-31,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,3/28/2025,3/31/2025,3/31/2025,0.04100000,,
2025-06-30,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,6/27/2025,6/30/2025,6/30/2025,0.12060000,,
2025-09-30,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,9/29/2025,9/30/2025,9/30/2025,0.07170000,,
2025-12-09,Janus Henderson Dividend & Income Builder Fund,47103X856,HDCVX,12/8/2025,12/9/2025,12/9/2025,0.01539043,,1.01209
2022-03-31,Janus Henderson Dividend & Income Builder Fund,47103X849,HDDVX,3/30/2022,3/31/2022,3/31/2022,0.06310000,,
2022-06-30,Janus Henderson Dividend & Income Builder Fund,47103X849,HDDVX,6/29/2022,6/30/2022,6/30/2022,0.13460000,,
2022-09-30,Janus Henderson Dividend & Income Builder Fund,47103X849,HDDVX,9/29/2022,9/30/2022,9/30/2022,0.20800000,,
