as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2025-12-31,Janus Henderson Research Fund,471023317,JRAAX,12/4/2025,12/5/2025,12/5/2025,,0.08401378,10.63544
2025-12-31,Janus Henderson Global Technology and Innovation Fund,471023358,JATAX,12/4/2025,12/5/2025,12/5/2025,,0.33768225,8.89121
2025-12-31,Janus Henderson Global Life Sciences Fund,471023481,JFNAX,12/4/2025,12/5/2025,12/5/2025,0.26256327,,3.33123
2025-12-31,Janus Henderson Global Allocation Fund – Conservative,47103A104,JCAAX,12/29/2025,12/30/2025,12/30/2025,0.26852641,,
2025-12-31,Janus Henderson Global Allocation Fund – Growth,47103A500,JGCAX,12/29/2025,12/30/2025,12/30/2025,0.17921733,0.0501598,0.70911
2025-12-31,Janus Henderson Forty Fund,47103A674,JDCAX,12/4/2025,12/5/2025,12/5/2025,,,6.96694
2025-12-31,Janus Henderson Adaptive Risk Managed U.S. Equity Fund,47103A732,JRSAX,12/8/2025,12/9/2025,12/9/2025,0.05204719,0.10922852,1.04456
2025-12-31,Janus Henderson Global Allocation Fund – Moderate,47103A880,JMOAX,12/29/2025,12/30/2025,12/30/2025,0.22676086,0.04132569,0.49832
2025-12-31,Janus Henderson Small Cap Value Fund,47103C217,JDSAX,12/8/2025,12/9/2025,12/9/2025,0.03607748,,0.83836
2025-12-31,Janus Henderson Mid Cap Value Fund,47103C266,JDPAX,12/8/2025,12/9/2025,12/9/2025,0.08215403,,1.35781
2025-12-31,Janus Henderson Global Research Fund,47103C324,JDWAX,12/4/2025,12/5/2025,12/5/2025,0.37714116,,9.14685
2025-12-31,Janus Henderson Triton Fund,47103C373,JGMAX,12/4/2025,12/5/2025,12/5/2025,,0.03070995,2.93275
2025-12-31,Janus Henderson Overseas Fund,47103C480,JDIAX,12/4/2025,12/5/2025,12/5/2025,0.5597275,,
2025-12-31,Janus Henderson Global Select Fund,47103C548,JORAX,12/4/2025,12/5/2025,12/5/2025,0.07408679,,1.96978
2025-12-31,Janus Henderson Enterprise Fund,47103C829,JDMAX,12/4/2025,12/5/2025,12/5/2025,,0.26481705,10.10415
2025-12-31,Janus Henderson Contrarian Fund,47103C878,JCNAX,12/4/2025,12/5/2025,12/5/2025,0.01249661,,2.91191
2025-12-31,Janus Henderson Small-Mid Cap Value Fund,47103E239,JVSAX,12/8/2025,12/9/2025,12/9/2025,0.01354626,,1.35946
2025-12-31,Janus Henderson Venture Fund,47103E429,JVTAX,12/4/2025,12/5/2025,12/5/2025,,,4.73234
2025-12-31,Janus Henderson European Focus Fund,47103X641,HFEAX,12/4/2025,12/5/2025,12/5/2025,0.69354019,,
2025-12-31,Janus Henderson Global Sustainable Equity Fund,47103Y615,JEASX,12/4/2025,12/5/2025,12/5/2025,,,0.23327
2025-12-31,Janus Henderson Research Fund,471023291,JRACX,12/4/2025,12/5/2025,12/5/2025,,0.08401378,10.63544
2025-12-31,Janus Henderson Global Technology and Innovation Fund,471023341,JAGCX,12/4/2025,12/5/2025,12/5/2025,,0.33768225,8.89121
2025-12-31,Janus Henderson Global Life Sciences Fund,471023473,JFNCX,12/4/2025,12/5/2025,12/5/2025,,,3.33123
2025-12-31,Janus Henderson Global Allocation Fund – Conservative,47103A203,JCACX,12/29/2025,12/30/2025,12/30/2025,0.1415619,,
2025-12-31,Janus Henderson Global Allocation Fund – Growth,47103A609,JGCCX,12/29/2025,12/30/2025,12/30/2025,0.02572779,0.0501598,0.70911
2025-12-31,Janus Henderson Forty Fund,47103A666,JACCX,12/4/2025,12/5/2025,12/5/2025,,,6.96694
2025-12-31,Janus Henderson Adaptive Risk Managed U.S. Equity Fund,47103A724,JRSCX,12/8/2025,12/9/2025,12/9/2025,,0.10922852,1.04456
2025-12-31,Janus Henderson Global Allocation Fund – Moderate,47103A872,JMOCX,12/29/2025,12/30/2025,12/30/2025,0.17084935,0.04132569,0.49832
2025-12-31,Janus Henderson Small Cap Value Fund,47103C191,JCSCX,12/8/2025,12/9/2025,12/9/2025,,,0.83836
2025-12-31,Janus Henderson Mid Cap Value Fund,47103C258,JMVCX,12/8/2025,12/9/2025,12/9/2025,,,1.35781
2025-12-31,Janus Henderson Global Research Fund,47103C316,JWWCX,12/4/2025,12/5/2025,12/5/2025,,,9.14685
2025-12-31,Janus Henderson Triton Fund,47103C365,JGMCX,12/4/2025,12/5/2025,12/5/2025,,0.03070995,2.93275
2025-12-31,Janus Henderson Overseas Fund,47103C472,JIGCX,12/4/2025,12/5/2025,12/5/2025,0.13791433,,
2025-12-31,Janus Henderson Global Select Fund,47103C530,JORCX,12/4/2025,12/5/2025,12/5/2025,,,1.96978
2025-12-31,Janus Henderson Enterprise Fund,47103C811,JGRCX,12/4/2025,12/5/2025,12/5/2025,,0.26481705,10.10415
2025-12-31,Janus Henderson Contrarian Fund,47103C860,JCNCX,12/4/2025,12/5/2025,12/5/2025,,,2.91191
2025-12-31,Janus Henderson Small-Mid Cap Value Fund,47103E221,JVSCX,12/8/2025,12/9/2025,12/9/2025,,,1.35946
2025-12-31,Janus Henderson Venture Fund,47103E411,JVTCX,12/4/2025,12/5/2025,12/5/2025,,,4.73234
2025-12-31,Janus Henderson European Focus Fund,47103X633,HFECX,12/4/2025,12/5/2025,12/5/2025,0.31828831,,
2025-12-31,Janus Henderson Global Sustainable Equity Fund,47103Y599,JECTX,12/4/2025,12/5/2025,12/5/2025,,,0.23327
2025-12-31,Janus Henderson Forty Fund,47103D199,JFRDX,12/4/2025,12/5/2025,12/5/2025,,,6.96694
2025-12-31,Janus Henderson Adaptive Risk Managed U.S. Equity Fund,47103D314,JRSDX,12/8/2025,12/9/2025,12/9/2025,0.07455282,0.10922852,1.04456
2025-12-31,Janus Henderson Small-Mid Cap Value Fund,47103E213,JSVDX,12/8/2025,12/9/2025,12/9/2025,0.05110456,,1.35946
2025-12-31,Janus Henderson Contrarian Fund,47103E304,JACNX,12/4/2025,12/5/2025,12/5/2025,0.06510213,,2.91191
2025-12-31,Janus Henderson Enterprise Fund,47103E403,JANEX,12/4/2025,12/5/2025,12/5/2025,0.25456365,0.26481705,10.10415
