as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2022-12-31,Vanguard Intermediate-Term Bond ETF,921937819,BIV,12/6/2022,12/6/2022,12/6/2022,0.161080,,
2022-12-31,Vanguard Long-Term Bond ETF,921937793,BLV,12/29/2022,12/29/2022,12/29/2022,0.252588,,
2022-12-31,Vanguard Long-Term Bond ETF,921937793,BLV,12/6/2022,12/6/2022,12/6/2022,0.239959,,
2022-12-31,Vanguard Total Bond Market ETF,921937835,BND,12/29/2022,12/29/2022,12/29/2022,0.172311,,
2022-12-31,Vanguard Total Bond Market ETF,921937835,BND,12/6/2022,12/6/2022,12/6/2022,0.164606,,
2022-12-31,Vanguard Intermediate-Term Bond Index Fund Investor Shares,921937306,VBIIX,12/1/2022,12/1/2022,12/1/2022,0.021170,,
2022-12-31,Vanguard Intermediate-Term Bond Index Fund Institutional Shares,921937884,VBIMX,12/1/2022,12/1/2022,12/1/2022,0.021992,,
2022-12-31,Vanguard Short-Term Bond Index Fund Institutional Plus,921937769,VBIPX,6/1/2022,6/1/2022,6/1/2022,0.011124,,
2022-12-31,Vanguard Short-Term Bond Index Fund Investor Shares,921937207,VBISX,12/1/2022,12/1/2022,12/1/2022,0.013852,,
2022-12-31,Vanguard Short-Term Bond Index Fund Institutional Shares,921937777,VBITX,12/1/2022,12/1/2022,12/1/2022,0.014658,,
2022-12-31,Vanguard Long-Term Bond Index Fund Admiral Shares,921937652,VBLAX,12/1/2022,12/1/2022,12/1/2022,0.036607,,
2022-12-31,Vanguard Long-Term Bond Index Fund Institutional Plus,921937744,VBLIX,12/1/2022,12/1/2022,12/1/2022,0.036875,,
2022-12-31,Vanguard Long-Term Bond Index Fund Institutional Shares,921937876,VBLLX,12/1/2022,12/1/2022,12/1/2022,0.036787,,
2022-12-31,Vanguard Total Bond Market Index Fund Investor Shares,921937108,VBMFX,12/1/2022,12/1/2022,12/1/2022,0.020920,,
2022-12-31,Vanguard Total Bond Market Index Fund Institutional Plus Shares,921937785,VBMPX,12/1/2022,12/1/2022,12/1/2022,0.021846,,
2022-12-31,Vanguard Total Bond Market Index Fund Institutional Shares,921937504,VBTIX,12/1/2022,12/1/2022,12/1/2022,0.021807,,
2022-12-31,Vanguard Total Bond Market Index Fund Admiral Shares,921937603,VBTLX,12/1/2022,12/1/2022,12/1/2022,0.021691,,
2022-12-31,Vanguard California Intermediate-Term Tax-Exempt Fund Admiral Shares,922021407,VCADX,12/1/2022,12/1/2022,12/1/2022,0.022686,,
2022-12-31,Vanguard California Intermediate-Term Tax-Exempt Fund Investor Shares,922021308,VCAIX,12/1/2022,12/1/2022,12/1/2022,0.021960,,
2022-12-31,Vanguard California Long-Term Tax-Exempt Fund Investor Shares,922021100,VCITX,12/1/2022,12/1/2022,12/1/2022,0.026052,,
2022-12-31,Vanguard California Long-Term Tax-Exempt Fund Admiral Shares,922021506,VCLAX,12/1/2022,12/1/2022,12/1/2022,0.026764,,
2022-12-31,Vanguard Intermediate-Term Investment-Grade Fund Investor Shares,922031885,VFICX,12/1/2022,12/1/2022,12/1/2022,0.023654,,
2022-12-31,Vanguard Intermediate-Term Investment-Grade Fund Admiral Shares,922031810,VFIDX,12/1/2022,12/1/2022,12/1/2022,0.024333,,
2022-12-31,Vanguard GNMA Fund Admiral Shares,922031794,VFIJX,12/1/2022,12/1/2022,12/1/2022,0.024617,,
2022-12-31,Vanguard Short-Term Treasury Fund Admiral Shares,922031851,VFIRX,12/1/2022,12/1/2022,12/1/2022,0.024677,,
2022-12-31,Vanguard Short-Term Treasury Fund Investor Shares,922031703,VFISX,12/1/2022,12/1/2022,12/1/2022,0.023861,,
2022-12-31,Vanguard Short-Term Investment-Grade Fund Institutional Shares,922031877,VFSIX,12/1/2022,12/1/2022,12/1/2022,0.020060,,
2022-12-31,Vanguard Short-Term Investment-Grade Fund Investor Shares,922031406,VFSTX,12/1/2022,12/1/2022,12/1/2022,0.019006,,
2022-12-31,Vanguard Short-Term Investment-Grade Fund Admiral Shares,922031836,VFSUX,12/1/2022,12/1/2022,12/1/2022,0.019817,,
2022-12-31,Vanguard Federal Money Market Fund,922906300,VMFXX,8/1/2022,8/1/2022,8/1/2022,0.001324,,
2022-12-31,Vanguard Ohio Long-Term Tax-Exempt Fund,921929204,VOHIX,12/1/2022,12/1/2022,12/1/2022,0.026997,,
2022-12-31,Vanguard Short-Term Federal Fund Investor Shares,922031604,VSGBX,12/1/2022,12/1/2022,12/1/2022,0.023547,,
2022-12-31,Vanguard Short-Term Federal Fund Admiral Shares,922031844,VSGDX,12/1/2022,12/1/2022,12/1/2022,0.024369,,
2022-12-31,Vanguard Total Bond Market Index Fund Institutional Select Shares,921937660,VTBSX,5/2/2022,5/2/2022,5/2/2022,0.018866,,
2022-12-31,Vanguard Long-Term Treasury Fund Investor Shares,922031505,VUSTX,12/1/2022,12/1/2022,12/1/2022,0.022514,,
2022-12-31,Vanguard Long-Term Treasury Fund Admiral Shares,922031786,VUSUX,12/1/2022,12/1/2022,12/1/2022,0.023224,,
2022-12-31,Vanguard Treasury Money Market Fund,921932109,VUSXX,12/1/2022,12/1/2022,12/1/2022,0.002846,,
2022-12-31,Vanguard High-Yield Tax-Exempt Fund Investor Shares,922907407,VWAHX,12/1/2022,12/1/2022,12/1/2022,0.029728,,
2022-12-31,Vanguard High-Yield Tax-Exempt Fund Admiral Shares,922907845,VWALX,12/1/2022,12/1/2022,12/1/2022,0.030387,,
2022-12-31,Vanguard High-Yield Corporate Fund Admiral Shares,922031760,VWEAX,12/1/2022,12/1/2022,12/1/2022,0.024078,,
2022-12-31,Vanguard High-Yield Corporate Fund Investor Shares,922031208,VWEHX,12/1/2022,12/1/2022,12/1/2022,0.023656,,
2022-12-31,Vanguard Long-Term Investment-Grade Fund Admiral Shares,922031778,VWETX,12/1/2022,12/1/2022,12/1/2022,0.030518,,
2022-12-31,Vanguard Intermediate-Term Tax-Exempt Fund Investor Shares,922907209,VWITX,12/1/2022,12/1/2022,12/1/2022,0.028951,,
