as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2025-12-31,Vanguard High-Yield Corporate Fund Investor Shares,922031208,VWEHX,12/1/2025,12/1/2025,12/1/2025,0.028290,,
2025-12-31,Vanguard High-Yield Corporate Fund Admiral Shares,922031760,VWEAX,12/1/2025,12/1/2025,12/1/2025,0.028744,,
2025-12-31,Vanguard Long-Term Investment-Grade Fund Admiral Shares,922031778,VWETX,12/1/2025,12/1/2025,12/1/2025,0.032471,,
2025-12-31,Vanguard GNMA Fund Admiral Shares,922031794,VFIJX,12/1/2025,12/1/2025,12/1/2025,0.029108,,
2025-12-31,Vanguard Short-Term Investment-Grade Fund Investor Shares,922031406,VFSTX,12/1/2025,12/1/2025,12/1/2025,0.039275,,
2025-12-31,Vanguard Short-Term Investment-Grade Fund Admiral Shares,922031836,VFSUX,12/1/2025,12/1/2025,12/1/2025,0.040226,,
2025-12-31,Vanguard Short-Term Investment-Grade Fund Institutional Shares,922031877,VFSIX,12/1/2025,12/1/2025,12/1/2025,0.040398,,
2025-12-31,Vanguard Short-Term Federal Fund Investor Shares,922031604,VSGBX,12/1/2025,12/1/2025,12/1/2025,0.032302,,
2025-12-31,Vanguard California Intermediate-Term Tax-Exempt Fund Investor Shares,922021308,VCAIX,12/1/2025,12/1/2025,12/1/2025,0.030013,,
2025-12-31,Vanguard California Intermediate-Term Tax-Exempt Fund Admiral Shares,922021407,VCADX,12/1/2025,12/1/2025,12/1/2025,0.030488,,
2025-12-31,Vanguard Short-Term Bond Index Fund Investor Shares,921937207,VBISX,12/1/2025,12/1/2025,12/1/2025,0.032693,,
2025-12-31,Vanguard Short-Term Bond Index Fund Institutional Shares,921937777,VBITX,12/1/2025,12/1/2025,12/1/2025,0.033632,,
2025-12-31,Vanguard Short-Term Bond Index Fund Institutional Plus Shares,921937769,VBIPX,12/1/2025,12/1/2025,12/1/2025,0.033716,,
2024-12-31,Vanguard High-Yield Tax-Exempt Fund Investor Shares,922907407,VWAHX,12/2/2024,12/2/2024,12/2/2024,0.033860,,
2024-12-31,Vanguard Intermediate-Term Investment-Grade Fund Investor Shares,922031885,VFICX,12/2/2024,12/2/2024,12/2/2024,0.033574,,
2024-12-31,Vanguard Intermediate-Term Investment-Grade Fund Admiral Shares,922031810,VFIDX,12/2/2024,12/2/2024,12/2/2024,0.034279,,
2024-12-31,Vanguard Long-Term Bond Index Fund Admiral Shares,921937652,VBLAX,12/2/2024,12/2/2024,12/2/2024,0.039517,,
2024-12-31,Vanguard Long-Term Bond Index Fund Institutional Plus Shares,921937744,VBLIX,12/2/2024,12/2/2024,12/2/2024,0.039863,,
2023-12-31,Vanguard Intermediate-Term Tax-Exempt Fund Investor Shares,922907209,VWITX,12/1/2023,12/1/2023,12/1/2023,0.032618,,
2023-12-31,Vanguard Total Bond Market Index Fund Admiral Shares,921937603,VBTLX,12/1/2023,12/1/2023,12/1/2023,0.026521,,
2022-12-31,Vanguard Intermediate-Term Tax-Exempt Fund Admiral Shares,922907878,VWIUX,12/1/2022,12/1/2022,12/1/2022,0.029810,,
