as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2022-12-31,Vanguard Developed Markets Index Fund Investor Shares,92206J107,VDVIX,12/15/2022,12/16/2022,12/19/2022,0.119000,,
2022-12-31,Vanguard Developed Markets Index Fund Institutional Plus Shares,92206J206,VDIPX,12/15/2022,12/16/2022,12/19/2022,0.246800,,
2022-12-31,Vanguard Target Retirement 2025 Fund,92202E409,VTTVX,12/27/2022,12/28/2022,12/29/2022,0.368000,,0.125918
2022-12-31,Vanguard Target Retirement 2035 Fund,92202E508,VTTHX,12/27/2022,12/28/2022,12/29/2022,0.402200,,0.121240
2022-12-31,Vanguard Target Retirement 2045 Fund,92202E607,VTIVX,12/27/2022,12/28/2022,12/29/2022,0.485500,,0.142414
2022-12-31,Vanguard Target Retirement Income Fund,92202E102,VTINX,12/27/2022,12/28/2022,12/29/2022,0.161700,,0.046052
2022-12-31,Vanguard Market Neutral Fund Investor Shares,92205G104,VMNFX,12/20/2022,12/21/2022,12/22/2022,0.092500,,
2022-12-31,Vanguard Market Neutral Fund Institutional Shares,92205G203,VMNIX,12/20/2022,12/21/2022,12/22/2022,0.096300,,
2022-12-31,Vanguard Target Retirement 2020 Fund,92202E805,VTWNX,12/27/2022,12/28/2022,12/29/2022,0.654100,,0.610227
2022-12-31,Vanguard Target Retirement 2030 Fund,92202E888,VTHRX,12/27/2022,12/28/2022,12/29/2022,0.643000,0.004064,0.147335
2022-12-31,Vanguard Target Retirement 2040 Fund,92202E870,VFORX,12/27/2022,12/28/2022,12/29/2022,0.713500,,0.172170
2022-12-31,Vanguard Target Retirement 2050 Fund,92202E862,VFIFX,12/27/2022,12/28/2022,12/29/2022,0.805000,,0.096469
2022-12-31,Vanguard Ultra-Short Bond ETF,92203C303,VUSB,12/2/2022,12/1/2022,12/6/2022,0.115900,,
2022-12-31,Vanguard Ultra-Short Bond ETF,92203C303,VUSB,12/27/2022,12/23/2022,12/29/2022,0.128600,,
2022-12-31,Vanguard Total Corporate Bond ETF,92206C573,VTC,12/2/2022,12/1/2022,12/6/2022,0.212600,,
2022-12-31,Vanguard Total Corporate Bond ETF,92206C573,VTC,12/27/2022,12/23/2022,12/29/2022,0.224900,,
2022-12-31,Vanguard Total International Bond Index Fund Admiral Shares,92203J308,VTABX,12/21/2022,12/22/2022,12/23/2022,0.085800,,
2022-12-31,Vanguard Total International Bond Index Fund Investor Shares,92203J100,VTIBX,12/21/2022,12/22/2022,12/23/2022,0.042800,,
2022-12-31,Vanguard Total International Bond Index Fund Institutional Shares,92203J209,VTIFX,12/21/2022,12/22/2022,12/23/2022,0.129400,,
2022-12-31,Vanguard Target Retirement 2055 Fund,92202E847,VFFVX,12/27/2022,12/28/2022,12/29/2022,0.885700,,0.037707
2022-12-31,Vanguard Short-Term Treasury Index Fund Institutional Shares,92206C201,VSBIX,12/21/2022,12/22/2022,12/23/2022,0.047900,,
2022-12-31,Vanguard Short-Term Treasury Index Fund Admiral Shares,92206C300,VSBSX,12/21/2022,12/22/2022,12/23/2022,0.037800,,
2022-12-31,Vanguard Intermediate-Term Treasury Index Fund Institutional Shares,92206C805,VIIGX,12/21/2022,12/22/2022,12/23/2022,0.049600,,
2022-12-31,Vanguard Intermediate-Term Treasury Index Fund Admiral Shares,92206C888,VSIGX,12/21/2022,12/22/2022,12/23/2022,0.039700,,
2022-12-31,Vanguard Long-Term Treasury Index Fund Institutional Shares,92206C839,VLGIX,12/21/2022,12/22/2022,12/23/2022,0.067500,,
2022-12-31,Vanguard Long-Term Treasury Index Fund Admiral Shares,92206C821,VLGSX,12/21/2022,12/22/2022,12/23/2022,0.052900,,
2022-12-31,Vanguard Short-Term Corporate Bond Index Fund Institutional Shares,92206C508,VSTBX,12/21/2022,12/22/2022,12/23/2022,0.056200,,
2022-12-31,Vanguard Short-Term Corporate Bond Index Fund Admiral Shares,92206C607,VSCSX,12/21/2022,12/22/2022,12/23/2022,0.045800,,
2022-12-31,Vanguard Intermediate-Term Corporate Bond Index Fund Institutional Shares,92206C862,VICBX,12/21/2022,12/22/2022,12/23/2022,0.076700,,
2022-12-31,Vanguard Intermediate-Term Corporate Bond Index Fund Admiral Shares,92206C854,VICSX,12/21/2022,12/22/2022,12/23/2022,0.061800,,
2022-12-31,Vanguard Long-Term Corporate Bond Index Fund Institutional Shares,92206C797,VLCIX,12/21/2022,12/22/2022,12/23/2022,0.100600,,
2022-12-31,Vanguard Long-Term Corporate Bond Index Fund Admiral Shares,92206C789,VLTCX,12/21/2022,12/22/2022,12/23/2022,0.080800,,
2022-12-31,Vanguard Long-Term Corporate Bond ETF,92206C813,VCLT,12/2/2022,12/1/2022,12/6/2022,0.294800,,
2022-12-31,Vanguard Long-Term Corporate Bond ETF,92206C813,VCLT,12/27/2022,12/23/2022,12/29/2022,0.302000,,
2022-12-31,Vanguard Mortgage-Backed Securities Index Fund Institutional Shares,92206C763,VMBIX,12/21/2022,12/22/2022,12/23/2022,0.062200,,
2022-12-31,Vanguard Mortgage-Backed Securities Index Fund Admiral Shares,92206C755,VMBSX,12/21/2022,12/22/2022,12/23/2022,0.045700,,
2022-12-31,Vanguard Explorer Value Fund,92206C748,VEVFX,12/13/2022,12/14/2022,12/15/2022,0.494900,0.079490,0.899888
2022-12-31,Vanguard Target Retirement 2060 Fund,92202E839,VTTSX,12/27/2022,12/28/2022,12/29/2022,0.813400,,
2022-12-31,Vanguard Target Retirement 2065 Fund,92202E680,VLXVX,12/27/2022,12/28/2022,12/29/2022,0.509900,,
